video_id,pred,gt
0,0.42641753,0.0
0,0.5259854,0.0
0,0.64046586,0.0
0,0.7422593,0.0
0,0.8248946,0.0
0,0.881387,0.0
0,0.9110583,0.0
0,0.9339845,0.0
0,0.9439709,0.0
0,0.95650196,0.0
0,0.94828635,0.0
0,0.9320111,1.0
0,0.9121962,1.0
0,0.89128256,1.0
0,0.87110734,1.0
0,0.8532841,0.0
0,0.8396404,0.0
0,0.8256221,0.0
0,0.80902815,0.0
0,0.7821003,0.0
0,0.7448003,0.0
0,0.6960956,0.0
0,0.64057255,0.0
0,0.58203316,0.0
0,0.51863086,0.0
0,0.4532497,0.0
0,0.38910836,0.0
0,0.3373437,0.0
0,0.3008649,0.0
0,0.28379673,0.0
0,0.28375846,0.0
0,0.29811072,0.0
0,0.32857585,0.0
0,0.37614712,0.0
0,0.44138223,0.0
0,0.52155846,0.0
0,0.6089941,0.0
0,0.693913,0.0
0,0.7702074,0.0
0,0.8358904,0.0
0,0.89078355,0.0
0,0.93264204,0.0
0,0.95960104,0.0
0,0.97313523,0.0
0,0.97748125,0.0
0,0.9783555,0.0
0,0.9788592,0.0
0,0.9797502,0.0
0,0.981402,0.0
0,0.983957,0.0
0,0.98741245,0.0
0,0.99090326,0.0
0,0.99395525,0.0
0,0.99609333,0.0
0,0.9972871,0.0
0,0.9973577,0.0
0,0.9870018,0.0
0,0.9611125,0.0
0,0.91535676,0.0
0,0.85263854,0.0
0,0.7732644,0.0
0,0.6750712,0.0
0,0.56663173,0.0
0,0.45538586,0.0
0,0.35233468,0.0
0,0.26321715,0.0
0,0.19224182,0.0
0,0.13690376,0.0
0,0.09793503,0.0
0,0.07802609,0.0
0,0.068660304,0.0
0,0.062984765,0.0
0,0.05944962,0.0
0,0.057586964,0.0
0,0.05787398,0.0
0,0.060322654,0.0
0,0.06396732,0.0
0,0.06815046,0.0
0,0.07280628,0.0
0,0.078210734,0.0
0,0.08530325,0.0
0,0.077487506,0.0
0,0.069147095,0.0
0,0.05992746,0.0
0,0.049787596,0.0
0,0.038884025,0.0
0,0.027279522,0.0
0,0.014616114,0.0
1,0.40534633,0.0
1,0.48167565,0.0
1,0.57638377,0.0
1,0.65883136,0.0
1,0.72855717,0.0
1,0.783649,0.0
1,0.8207228,0.0
1,0.858801,0.0
1,0.89089453,0.0
1,0.9313036,0.0
1,0.93813586,0.0
1,0.94203836,0.0
1,0.94495547,0.0
1,0.9475664,0.0
1,0.95030075,0.0
1,0.95361644,0.0
1,0.95756626,0.0
1,0.9619055,0.0
1,0.9664098,0.0
1,0.97083175,0.0
1,0.9749725,0.0
1,0.9787482,0.0
1,0.9820732,0.0
1,0.9848311,0.0
1,0.98681897,0.0
1,0.98794746,0.0
1,0.988131,0.0
1,0.9872569,0.0
1,0.9852261,0.0
1,0.9819373,0.0
1,0.9773842,0.0
1,0.9716559,0.0
1,0.9648548,0.0
1,0.9572574,0.0
1,0.9492012,0.0
1,0.9411364,0.0
1,0.93345845,0.0
1,0.9267391,0.0
1,0.9213383,0.0
1,0.91742474,0.0
1,0.9150744,0.0
1,0.91419923,0.0
1,0.91467047,0.0
1,0.9161025,0.0
1,0.9182534,0.0
1,0.92064685,0.0
1,0.9230946,0.0
1,0.92542624,0.0
1,0.927532,0.0
1,0.92926204,0.0
1,0.93044615,0.0
1,0.93114877,0.0
1,0.93158835,0.0
1,0.93199754,0.0
1,0.9324795,0.0
1,0.9329089,0.0
1,0.93307525,0.0
1,0.932858,0.0
1,0.93234265,0.0
1,0.9317579,0.0
1,0.930896,0.0
1,0.92974186,0.0
1,0.9283659,0.0
1,0.9271112,0.0
1,0.9264938,0.0
1,0.926723,0.0
1,0.9281714,0.0
1,0.9307216,0.0
1,0.9346056,0.0
1,0.9395678,0.0
1,0.9449769,0.0
1,0.9500383,0.0
1,0.95418644,0.0
1,0.9572722,0.0
1,0.9591425,0.0
1,0.9597275,0.0
1,0.95888305,0.0
1,0.9568371,0.0
1,0.95432615,0.0
1,0.9523239,0.0
1,0.95178115,1.0
1,0.95304006,1.0
1,0.95589423,1.0
1,0.96008223,1.0
1,0.96526736,1.0
1,0.97101015,0.0
1,0.97672546,0.0
1,0.981873,0.0
1,0.98556316,0.0
1,0.86460936,0.0
1,0.74238694,0.0
1,0.61918956,0.0
1,0.49533778,0.0
1,0.37125584,0.0
1,0.24722007,0.0
1,0.123394825,0.0
2,0.015994355,0.0
2,0.018033218,0.0
