video_id,pred,gt
0,0.027566418,0.0
0,0.0043106824,0.0
0,0.0070400937,0.0
0,0.05169689,0.0
0,0.13567643,0.0
0,0.16980593,0.0
0,0.17171344,0.0
0,0.15853395,0.0
0,0.1472592,0.0
0,0.18365481,0.0
0,0.26985276,1.0
0,0.5078533,1.0
0,0.83425075,1.0
0,0.9927541,1.0
0,0.999658,1.0
0,0.9999822,1.0
0,0.9999968,1.0
0,0.9999998,1.0
0,0.9999999,1.0
0,0.9999994,1.0
0,0.9999989,1.0
0,0.9999989,1.0
0,0.9999988,1.0
0,0.99997914,0.0
0,0.9998382,0.0
0,0.99910676,0.0
0,0.99818635,0.0
0,0.99811924,0.0
0,0.9988432,0.0
0,0.99960315,0.0
0,0.9999317,0.0
0,0.99996996,0.0
0,0.9999528,0.0
0,0.99996734,0.0
0,0.9999881,0.0
0,0.99998385,0.0
0,0.9992615,0.0
0,0.9972968,1.0
0,0.99622965,1.0
0,0.9978356,1.0
0,0.99947655,1.0
0,0.99979234,1.0
0,0.9997704,1.0
0,0.9996061,1.0
0,0.99890256,1.0
0,0.9962336,1.0
0,0.9938123,1.0
0,0.99395144,1.0
0,0.9940284,1.0
0,0.98281586,1.0
0,0.7347417,1.0
0,0.32150495,0.0
0,0.09909716,0.0
0,0.03428467,0.0
0,0.01250776,0.0
0,0.005632395,0.0
0,0.0014760315,0.0
0,0.00060470565,0.0
0,0.0002564336,0.0
0,1.4234371e-05,0.0
0,4.6685773e-06,0.0
0,6.1717105e-06,0.0
0,4.13182e-06,0.0
0,8.9586183e-07,0.0
0,6.7022864e-07,0.0
0,4.125624e-07,0.0
0,2.5344085e-07,0.0
1,0.41103786,0.0
1,0.42476702,0.0
1,0.5435863,0.0
1,0.7337502,0.0
1,0.89351547,1.0
1,0.98815143,1.0
1,0.996458,1.0
1,0.99645394,1.0
1,0.99798596,1.0
1,0.99993515,1.0
1,0.99999845,1.0
1,0.99999934,1.0
1,0.9999999,1.0
1,1.0,1.0
1,1.0,1.0
1,0.99999964,1.0
1,0.9999988,1.0
1,0.9999979,1.0
1,0.99999696,1.0
1,0.99999493,1.0
1,0.99998826,1.0
1,0.9999875,1.0
1,0.9999498,1.0
1,0.99940807,1.0
1,0.9218261,1.0
1,0.7371998,1.0
1,0.5953271,1.0
1,0.52628666,1.0
1,0.46120217,1.0
1,0.41975123,1.0
1,0.4086775,1.0
1,0.40511584,1.0
1,0.4014544,1.0
1,0.40043154,1.0
1,0.41262138,1.0
1,0.50120556,1.0
1,0.5961856,1.0
1,0.7662778,1.0
1,0.84707,1.0
1,0.67719287,1.0
1,0.591844,1.0
1,0.7050266,1.0
1,0.8675969,0.0
1,0.9647687,0.0
1,0.99889404,0.0
1,0.99998766,0.0
1,0.99999905,1.0
1,0.99999964,1.0
1,0.9999998,1.0
1,0.9999998,1.0
1,0.9999999,0.0
1,1.0,0.0
1,0.99999976,0.0
1,0.99998677,0.0
1,0.99853635,0.0
1,0.98263025,0.0
1,0.926515,0.0
1,0.84526384,0.0
1,0.7089637,0.0
1,0.33541915,0.0
1,0.029285753,0.0
1,5.63144e-07,0.0
1,7.4101525e-09,0.0
1,2.503933e-09,0.0
1,3.8098793e-08,0.0
1,5.1532833e-08,0.0
1,2.7625024e-08,0.0
1,1.3593774e-08,0.0
2,0.016750693,0.0
2,0.0019152039,0.0
2,0.018845547,0.0
2,0.1818452,0.0
2,0.36354387,0.0
2,0.4056954,0.0
2,0.47427768,0.0
2,0.6051048,0.0
2,0.6798935,0.0
2,0.6759486,0.0
2,0.64118636,0.0
2,0.54739565,0.0
2,0.54176986,0.0
2,0.68160474,0.0
2,0.74629766,0.0
2,0.6253763,0.0
2,0.40688658,0.0
2,0.26055622,0.0
2,0.21777833,0.0
2,0.22526583,0.0
2,0.2393845,0.0
2,0.31347162,0.0
2,0.39339262,0.0
